license_id,brand_name,original_ingredient,normalized_ingredient,synonyms,drugbank_id,mapped
200809649,레보세티정(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200809659,노토바정5mg/10mg,ATORVASTATIN CALCIUM HYDRATE,ATORVASTATIN CALCIUM HYDRATE,,,False
200809695,한방장수고카타플라스마,PHELLODENDRON BARK SOFT EXTRACT (3.3→1),PHELLODENDRON BARK SOFT EXTRACT,,,False
200809696,조프란정8밀리그램(온단세트론염산염수화물),ONDANSETRON HYDROCHLORIDE HYDRATE,ONDANSETRON HYDROCHLORIDE HYDRATE,,,False
200809703,씨브이에스페인패드카타플라스마(수출용)(수출명: CVS Pain Pad),DL-CAMPHOR,DL-CAMPHOR,,DB01744,True
200809710,사르발탄정160밀리그램(발사르탄),VALSARTAN,VALSARTAN,,DB00177,True
200809712,사르발탄정80밀리그램(발사르탄),VALSARTAN,VALSARTAN,,DB00177,True
200809721,하나염산날부핀주10밀리그람,NALBUPHINE HYDROCHLORIDE,NALBUPHINE HYDROCHLORIDE,,DB00844,True
200809778,써큐엣정5/10밀리그램(수출용),ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,,DB01076,True
200809786,디카틴정(엘카르니틴),L-CARNITINE,L-CARNITINE,,DB00583,True
200809791,로자탐플러스정,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,,DB00678,True
200809806,엘사팜정10mg(에스시탈로프람옥살산염)(수출용),ESCITALOPRAM OXALATE,ESCITALOPRAM OXALATE,,,False
200809810,헬씨큐플러스연질캡슐,RETINOL PALMITATE OIL,RETINOL PALMITATE OIL,,,False
200809813,레시프람정(에스시탈로프람옥살산염),ESCITALOPRAM OXALATE,ESCITALOPRAM OXALATE,,,False
200809818,몬카스트츄정4mg(몬테루카스트나트륨),MONTELUKAST SODIUM,MONTELUKAST SODIUM,,DB00471,True
200809819,몬테루스츄정4mg(몬테루카스트나트륨),MONTELUKAST SODIUM,MONTELUKAST SODIUM,,DB00471,True
200809825,뉴프람정10밀리그램(에스시탈로프람옥살산염),ESCITALOPRAM OXALATE,ESCITALOPRAM OXALATE,,,False
200809853,엠에스크림,LIDOCAINE,LIDOCAINE,,DB00281,True
200809902,에이페질에프디정5밀리그램(도네페질염산염수화물),DONEPEZIL HYDROCHLORIDE HYDRATE,DONEPEZIL HYDROCHLORIDE HYDRATE,,,False
200809904,플로실 헤모스태틱 매트릭스,PURIFIED GELATIN,PURIFIED GELATIN,,,False
200809909,발사르텔정80밀리그램(발사르탄),VALSARTAN,VALSARTAN,,DB00177,True
200809910,발사르텔정160밀리그램(발사르탄),VALSARTAN,VALSARTAN,,DB00177,True
200809924,베아비오캡슐(바실루스리케니포르미스균),BACILLUS LICHENIFORMIS,BACILLUS LICHENIFORMIS,,,False
200809992,리도칸크림(리도카인),LIDOCAINE,LIDOCAINE,,DB00281,True
200810003,몬테루스츄정5mg(몬테루카스트나트륨),MONTELUKAST SODIUM,MONTELUKAST SODIUM,,DB00471,True
200810004,몬카스트츄정5mg(몬테루카스트나트륨),MONTELUKAST SODIUM,MONTELUKAST SODIUM,,DB00471,True
200810005,몬테루스정10mg(몬테루카스트나트륨),MONTELUKAST SODIUM,MONTELUKAST SODIUM,,DB00471,True
200810006,몬카스트정10mg(몬테루카스트나트륨),MONTELUKAST SODIUM,MONTELUKAST SODIUM,,DB00471,True
