license_id,brand_name,drug_ingredient,drugbank_id,potential_indication,source
201002332,오렌시아주250밀리그램(아바타셉트),ABATACEPT,DB01281,juvenile arthritis due to defect in LACC1,TxGNN Knowledge Graph
201003157,호쿠테롤패취0.5밀리그램(툴로부테롤),TULOBUTEROL,DB12248,asthma,TxGNN Knowledge Graph
201003157,호쿠테롤패취0.5밀리그램(툴로부테롤),TULOBUTEROL,DB12248,allergic asthma,TxGNN Knowledge Graph
201003157,호쿠테롤패취0.5밀리그램(툴로부테롤),TULOBUTEROL,DB12248,intrinsic asthma,TxGNN Knowledge Graph
201003157,호쿠테롤패취0.5밀리그램(툴로부테롤),TULOBUTEROL,DB12248,pulmonary emphysema,TxGNN Knowledge Graph
201003189,아뎁세라정10밀리그램(아데포비어디피복실),ADEFOVIR DIPIVOXIL,DB00718,chronic hepatitis B virus infection,TxGNN Knowledge Graph
201003484,트루바다정,EMTRICITABINE,DB00879,HIV infectious disease,TxGNN Knowledge Graph
201003484,트루바다정,EMTRICITABINE,DB00879,AIDS,TxGNN Knowledge Graph
201004242,트리세녹스주(삼산화비소),ARSENIC TRIOXIDE,DB01169,acute myeloid leukemia with abnormal bone marrow eosinophils inv(16)(p13q22) or t(16;16)(p13;q22),TxGNN Knowledge Graph
201004242,트리세녹스주(삼산화비소),ARSENIC TRIOXIDE,DB01169,acute promyelocytic leukemia,TxGNN Knowledge Graph
201004242,트리세녹스주(삼산화비소),ARSENIC TRIOXIDE,DB01169,myelomonocytic leukemia,TxGNN Knowledge Graph
201005882,빅토자펜주6밀리그램/밀리리터(리라글루티드),LIRAGLUTIDE,DB06655,diabetes mellitus (disease),TxGNN Knowledge Graph
201005882,빅토자펜주6밀리그램/밀리리터(리라글루티드),LIRAGLUTIDE,DB06655,type 2 diabetes mellitus,TxGNN Knowledge Graph
201101857,에소프라졸캡슐20밀리그램(에스오메프라졸),ESOMEPRAZOLE,DB00736,gastrin secretion abnormality,TxGNN Knowledge Graph
201101857,에소프라졸캡슐20밀리그램(에스오메프라졸),ESOMEPRAZOLE,DB00736,gastroesophageal reflux disease,TxGNN Knowledge Graph
201101857,에소프라졸캡슐20밀리그램(에스오메프라졸),ESOMEPRAZOLE,DB00736,Zollinger-Ellison syndrome,TxGNN Knowledge Graph
201101857,에소프라졸캡슐20밀리그램(에스오메프라졸),ESOMEPRAZOLE,DB00736,esophagitis (disease),TxGNN Knowledge Graph
201101857,에소프라졸캡슐20밀리그램(에스오메프라졸),ESOMEPRAZOLE,DB00736,peptic esophagitis,TxGNN Knowledge Graph
201101857,에소프라졸캡슐20밀리그램(에스오메프라졸),ESOMEPRAZOLE,DB00736,peptic ulcer disease,TxGNN Knowledge Graph
201101857,에소프라졸캡슐20밀리그램(에스오메프라졸),ESOMEPRAZOLE,DB00736,hyperinsulinism (disease),TxGNN Knowledge Graph
201102475,유로발포정(탄산수소칼륨)(수출용),POTASSIUM BICARBONATE,DB11098,dyspepsia,TxGNN Knowledge Graph
201102475,유로발포정(탄산수소칼륨)(수출용),POTASSIUM BICARBONATE,DB11098,gastroesophageal reflux disease,TxGNN Knowledge Graph
201102475,유로발포정(탄산수소칼륨)(수출용),POTASSIUM BICARBONATE,DB11098,esophagitis (disease),TxGNN Knowledge Graph
201102475,유로발포정(탄산수소칼륨)(수출용),POTASSIUM BICARBONATE,DB11098,peptic esophagitis,TxGNN Knowledge Graph
201102475,유로발포정(탄산수소칼륨)(수출용),POTASSIUM BICARBONATE,DB11098,peptic ulcer disease,TxGNN Knowledge Graph
201102475,유로발포정(탄산수소칼륨)(수출용),POTASSIUM BICARBONATE,DB11098,potassium deficiency disease,TxGNN Knowledge Graph
201102595,에볼트라주(클로파라빈),CLOFARABINE,DB00631,acute lymphoblastic leukemia (disease),TxGNN Knowledge Graph
201102595,에볼트라주(클로파라빈),CLOFARABINE,DB00631,"leukemia, lymphocytic, susceptibility to",TxGNN Knowledge Graph
201102595,에볼트라주(클로파라빈),CLOFARABINE,DB00631,precursor T-cell acute lymphoblastic leukemia,TxGNN Knowledge Graph
201102595,에볼트라주(클로파라빈),CLOFARABINE,DB00631,acute lymphoblastic/lymphocytic leukemia,TxGNN Knowledge Graph
201102767,플리바스정25mg(나프토피딜),NAFTOPIDIL,DB12092,benign prostatic hyperplasia (disease),TxGNN Knowledge Graph
201103323,시낙텐주(테트라코삭티드),TETRACOSACTIDE,DB01284,Addison disease,TxGNN Knowledge Graph
201103323,시낙텐주(테트라코삭티드),TETRACOSACTIDE,DB01284,adrenocortical insufficiency,TxGNN Knowledge Graph
201103637,로미플레이트주250마이크로그램(로미플로스팀),ROMIPLOSTIM,DB05332,aplastic anemia,TxGNN Knowledge Graph
201103637,로미플레이트주250마이크로그램(로미플로스팀),ROMIPLOSTIM,DB05332,idiopathic aplastic anemia,TxGNN Knowledge Graph
201103637,로미플레이트주250마이크로그램(로미플로스팀),ROMIPLOSTIM,DB05332,autoimmune thrombocytopenic,TxGNN Knowledge Graph
201103892,스텔라라프리필드주(우스테키누맙),USTEKINUMAB,DB05679,psoriasis,TxGNN Knowledge Graph
201103892,스텔라라프리필드주(우스테키누맙),USTEKINUMAB,DB05679,parapsoriasis,TxGNN Knowledge Graph
201103892,스텔라라프리필드주(우스테키누맙),USTEKINUMAB,DB05679,psoriatic arthritis,TxGNN Knowledge Graph
201104578,브릴린타정90밀리그램(티카그렐러),TICAGRELOR,DB08816,intermittent vascular claudication,TxGNN Knowledge Graph
201104578,브릴린타정90밀리그램(티카그렐러),TICAGRELOR,DB08816,acute coronary syndrome,TxGNN Knowledge Graph
201104578,브릴린타정90밀리그램(티카그렐러),TICAGRELOR,DB08816,peripheral vascular disease,TxGNN Knowledge Graph
201104578,브릴린타정90밀리그램(티카그렐러),TICAGRELOR,DB08816,peripheral arterial disease,TxGNN Knowledge Graph
201106064,노비르정(리토나비르),RITONAVIR,DB00503,hepatitis C virus infection,TxGNN Knowledge Graph
201106064,노비르정(리토나비르),RITONAVIR,DB00503,chronic hepatitis C virus infection,TxGNN Knowledge Graph
201106064,노비르정(리토나비르),RITONAVIR,DB00503,HIV infectious disease,TxGNN Knowledge Graph
201106064,노비르정(리토나비르),RITONAVIR,DB00503,AIDS,TxGNN Knowledge Graph
201106367,트라젠타정(리나글립틴),LINAGLIPTIN,DB08882,diabetes mellitus (disease),TxGNN Knowledge Graph
201106367,트라젠타정(리나글립틴),LINAGLIPTIN,DB08882,type 2 diabetes mellitus,TxGNN Knowledge Graph
201109290,한림카베토신주(카르베토신),CARBETOCIN,DB01282,Noonan syndrome,TxGNN Knowledge Graph
201109290,한림카베토신주(카르베토신),CARBETOCIN,DB01282,Prader-Willi syndrome,TxGNN Knowledge Graph
201110541,엠빅스에스구강붕해필름50밀리그램(미로데나필),MIRODENAFIL,DB11792,premature ejaculation (disease),TxGNN Knowledge Graph
201110541,엠빅스에스구강붕해필름50밀리그램(미로데나필),MIRODENAFIL,DB11792,psychologic dyspareunia,TxGNN Knowledge Graph
201110541,엠빅스에스구강붕해필름50밀리그램(미로데나필),MIRODENAFIL,DB11792,erectile dysfunction (disease),TxGNN Knowledge Graph
201110836,놀모상주(헤민),HEMIN,DB03404,acute intermittent porphyria,TxGNN Knowledge Graph
201112194,잴코리캡슐200밀리그램(크리조티닙),CRIZOTINIB,DB08865,lung cancer,TxGNN Knowledge Graph
201112194,잴코리캡슐200밀리그램(크리조티닙),CRIZOTINIB,DB08865,non-small cell lung carcinoma (disease),TxGNN Knowledge Graph
201200246,자론티연질캡슐(에토숙시미드),ETHOSUXIMIDE,DB00593,absence epilepsy,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,escherichia coli infection,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,streptococcal pneumonia,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,bacterial pneumonia,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,rhinoscleroma,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,endometritis,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,meningococcal infection,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,bacterial arthritis,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,viral meningitis,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,staphylococcus aureus infection,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,staphylococcal pneumonia,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,arthropathy,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,bacterial meningitis,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,peritonitis,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,staphylococcal infection,TxGNN Knowledge Graph
201202147,딤제프주2그램(수출용),CEFTAZIDIME,DB00438,streptococcal infection,TxGNN Knowledge Graph
201202447,세리비아세립50밀리그램(실데나필),SILDENAFIL,DB00203,premature ejaculation (disease),TxGNN Knowledge Graph
201202447,세리비아세립50밀리그램(실데나필),SILDENAFIL,DB00203,pulmonary arterial hypertension,TxGNN Knowledge Graph
201202447,세리비아세립50밀리그램(실데나필),SILDENAFIL,DB00203,erectile dysfunction (disease),TxGNN Knowledge Graph
201202447,세리비아세립50밀리그램(실데나필),SILDENAFIL,DB00203,psychologic dyspareunia,TxGNN Knowledge Graph
201202719,악템라주(토실리주맙)(유전자재조합),TOCILIZUMAB,DB06273,spondyloarthropathy,TxGNN Knowledge Graph
201202719,악템라주(토실리주맙)(유전자재조합),TOCILIZUMAB,DB06273,rheumatoid arthritis,TxGNN Knowledge Graph
201202719,악템라주(토실리주맙)(유전자재조합),TOCILIZUMAB,DB06273,juvenile idiopathic arthritis,TxGNN Knowledge Graph
